county,code,deaths,population
APPLING,1,2,30398
ATKINSON,2,0,11261
BACON,3,0,19574
BAKER,4,0,4347
BALDWIN,5,3,58090
BANKS,6,1,23664
BARROW,7,3,56723
BARTOW,8,8,112108
BEN.HILL,9,1,27049
BERRIEN,10,2,30202
BIBB,11,10,211395
BLECKLEY,12,1,19705
BRANTLEY,13,1,24126
BROOKS,14,0,21426
BRYAN,15,1,27349
BULLOCH,16,1,72860
BURKE,17,0,24413
BUTTS,18,2,24606
CALHOUN,19,1,5103
CAMDEN,20,0,46501
CANDLER,21,0,12368
CARROLL,22,7,136784
CATOOSA,23,5,96739
CHARLTON,24,1,14373
CHATHAM,25,21,318800
CHATTAHOOCHEE,26,0,41086
CHATTOOGA,27,1,48209
CHEROKEE,28,11,188914
CLARKE,29,5,146675
CLAY,30,0,3127
CLAYTON,31,15,327928
CLINCH,32,0,11283
COBB,33,23,902837
COFFEE,34,1,52434
COLQUITT,35,1,68264
COLUMBIA,36,4,124750
COOK,37,2,23095
COWETA,38,6,89098
CRAWFORD,39,0,13965
CRISP,40,1,27935
DADE,41,1,30488
DAWSON,42,1,19905
DE.KALB,43,34,760169
DECATUR,44,3,37667
DODGE,45,2,30391
DOOLY,46,0,12180
DOUGHERTY,47,4,124485
DOUGLAS,48,2,152344
EARLY,49,1,16296
ECHOLS,50,0,5022
EFFINGHAM,51,3,49026
ELBERT,52,2,31752
EMANUEL,53,1,34012
EVANS,54,1,13487
FANNIN,55,4,37494
FAYETTE,56,1,118854
FLOYD,57,5,165095
FORSYTH,58,2,94748
FRANKLIN,59,1,35265
FULTON,60,34,765403
GILMER,61,0,30562
GLASCOCK,62,0,4763
GLYNN,63,6,106550
GORDON,64,4,78900
GRADY,65,1,33719
GREENE,66,2,13766
GWINNETT,67,19,689788
HABERSHAM,68,3,61557
HALL,69,5,198574
HANCOCK,70,0,4569
HARALSON,71,2,47386
HARRIS,72,2,30585
HART,73,6,37118
HEARD,74,1,16499
HENRY,75,6,106536
HOUSTON,76,5,165034
IRWIN,77,1,14599
JACKSON,78,1,63383
JASPER,79,0,12334
JEFF.DAVIS,80,0,24818
JEFFERSON,81,0,19101
JENKINS,82,1,12082
JOHNSON,83,1,13392
JONES,84,2,35839
LAMAR,85,0,20135
LANIER,86,0,10232
LAURENS,87,4,63991
LEE,88,0,30498
LIBERTY,89,0,81908
LINCOLN,90,0,10692
LONG,91,0,11095
LOWNDES,92,7,124484
LUMPKIN,93,2,31335
MaaC.DUFFIE,94,1,30293
MaaC.INTOSH,95,0,12208
MACON,96,1,13841
MADISON,97,2,44020
MARION,98,0,7760
MERIWETHER,99,1,28889
MILLER,100,0,11506
MITCHELL,101,2,26257
MONROE,102,0,26540
MONTGOMERY,103,1,12546
MORGAN,104,0,19553
MURRAY,105,2,58628
MUSCOGEE,106,14,272915
NEWTON,107,5,74069
OCONEE,108,1,35172
OGLETHORPE,109,0,16972
PAULDING,110,1,84676
PEACH,111,2,25620
PICKENS,112,3,32264
PIERCE,113,0,27622
PIKE,114,0,18682
POLK,115,3,69471
PULASKI,116,1,13411
PUTNAM,117,3,20631
QUITMAN,118,1,2557
RABUN,119,2,26890
RANDOLPH,120,1,8565
RICHMOND,121,13,272317
ROCKDALE,122,8,107037
SCHLEY,123,0,5773
SCREVEN,124,1,19348
SEMINOLE,125,1,15161
SPALDING,126,5,90876
STEPHENS,127,3,48420
STEWART,128,1,5140
SUMTER,129,0,38357
TALBOT,130,1,6008
TALIAFERRO,131,0,1688
TATTNALL,132,0,31886
TAYLOR,133,0,10792
TELFAIR,134,1,17459
TERRELL,135,1,10683
THOMAS,136,0,57607
TIFT,137,2,62105
TOOMBS,138,1,43300
TOWNS,139,0,15705
TREUTLEN,140,3,9695
TROUP,141,8,90067
TURNER,142,1,13259
TWIGGS,143,0,12591
UNION,144,0,27073
UPSON,146,4,45157
WALKER,147,5,133740
WALTON,148,1,70739
WARE,149,0,65644
WARREN,150,1,5923
WASHINGTON,151,1,22199
WAYNE,152,6,42763
WEBSTER,153,0,2800
WHEELER,154,0,8545
WHITE,155,0,28098
WHITFIELD,156,7,165146
WILCOX,157,0,11644
WILKES,158,1,14223
WILKINSON,159,0,14488
WORTH,160,0,32640
